t,theta,omega
61.81999999999627,-0.02540732026659679,0.07725497748133349
61.82999999999627,-0.024622827061079315,0.07963044503793076
61.839999999996266,-0.02381497945037543,0.08192548993268986
61.849999999996264,-0.0229845925826438,0.08413794152992565
61.85999999999626,-0.022132502898839803,0.08626571224212173
61.86999999999626,-0.021259567292288468,0.08830679950505368
61.87999999999626,-0.020366662248928077,0.09025928766820314
61.889999999996256,-0.019454682969081066,0.09212134979858413
61.899999999996254,-0.01852454247162711,0.09389124939618589
61.90999999999625,-0.01757717068147085,0.0955673420193218
61.91999999999625,-0.016613513501213414,0.09714807681826211
61.92999999999625,-0.015634531867952592,0.09863199797561849
61.939999999996246,-0.014641200796151471,0.10001774605204163
61.949999999996244,-0.013634508407529135,0.10130405923588852
61.95999999999624,-0.012615454948940097,0.10248977449561364
61.96999999999624,-0.011585051799221004,0.10357382863373807
61.97999999999624,-0.010544320465994168,0.10455525924135244
61.989999999996236,-0.009494291573427342,0.10543320555221336
61.999999999996234,-0.00843600384195811,0.10620690919559828
62.00999999999623,-0.007370503060998989,0.10687571484719073
62.01999999999623,-0.00629884105564618,0.10743907077737642
62.02999999999623,-0.005222074648420454,0.10789652929644002
62.039999999996226,-0.004141264617073292,0.10824774709626311
62.049999999996224,-0.0030574746494947775,0.10849248548823563
62.05999999999622,-0.001971770296762089,0.10863061053720438
62.06999999999622,-0.0008852179253686374,0.10866209309139563
62.07999999999622,0.00020111633032605824,0.108587008708361
62.089999999996216,0.0012861676143866943,0.10840553747710871
62.099999999996214,0.0023688733932958443,0.10811796373669515
62.10999999999621,0.003448174496617406,0.10772467569166354
62.11999999999621,0.004523016153300699,0.10722616492482852
62.12999999999621,0.005592349022601632,0.10662302580801593
62.139999999996206,0.006655130218603999,0.10591595481147724
62.149999999996204,0.007710324327331691,0.10510574971280648
62.1599999999962,0.008756904415451447,0.10419330870629484
62.1699999999962,0.009793853029575632,0.1031796294137639
62.1799999999962,0.010820163185185468,0.1020658077980221
62.189999999996196,0.011834839344207097,0.10085303698019153
62.199999999996194,0.01283689838028583,0.09954260596225131
62.20999999999619,0.013825370530817904,0.09813589825624217
62.21999999999619,0.014799300334813947,0.09663439042167177
62.22999999999619,0.015757747555684286,0.095039650512753
62.239999999996186,0.01669978808805292,0.09335333643719775
62.249999999996184,0.017624514847724728,0.09157719422837582
62.25999999999618,0.01853103864394895,0.08971305623273328
62.26999999999618,0.019418489033141337,0.08776283921444591
62.27999999999618,0.02028601515324755,0.085728542379362
62.289999999996176,0.02113278653795127,0.08361224532036408
62.299999999996174,0.02195799390995216,0.08141610588635152
62.30999999999617,0.022760849952561214,0.0791423579771149
62.31999999999617,0.02354059005888398,0.07679330926643896
62.32999999999617,0.024296473057885976,0.07437133885583362
62.33999999999617,0.025027781916658734,0.0718788948613518
62.349999999996164,0.025733824418229936,0.06931849193600897
62.35999999999616,0.026413933814286434,0.06669270873037253
